,success,terms,privacy,timestamp,source,quotes
USDEUR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.854575
USDJPY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,150.379496
USDGBP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.74213
USDAUD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1.511899
USDNZD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1.71555
USDCAD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1.39495
USDCHF,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.79542
USDCNY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,7.119498
USDCNH,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,7.137045
USDHKD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,7.78195
USDSGD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1.290905
USDINR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,88.7142
USDKRW,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1409.095025
USDTWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,30.354503
USDTHB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,32.450033
USDIDR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,16541.2
USDMYR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,4.214005
USDPHP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,58.094499
USDVND,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,26364.0
USDBRL,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,5.311402
USDMXN,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,18.34197
USDCLP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,961.930296
USDCOP,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,3863.7
USDARS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,1429.737797
USDRUB,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,82.994659
USDZAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,17.168699
USDTRY,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,41.704205
USDAED,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,3.672502
USDSAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,3.750796
USDQAR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,3.641104
USDKWD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.30614
USDBHD,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.376957
USDOMR,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,0.3845
USDILS,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,1759812186,USD,3.275225
