,success,terms,privacy,timeframe,start_date,end_date,source,quotes
2025-03-01,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 111111, 'USDJPY': 150.61904, 'USDGBP': 0.795355, 'USDAUD': 1.61135, 'USDNZD': 1.786353, 'USDCAD': 1.44675, 'USDCHF': 0.903364, 'USDCNY': 7.283804, 'USDCNH': 7.29542, 'USDHKD': 7.77875, 'USDSGD': 1.351304, 'USDINR': 87.47055, 'USDKRW': 1461.795039, 'USDTWD': 32.920367, 'USDTHB': 34.251038, 'USDIDR': 16531.45, 'USDMYR': 4.462504, 'USDPHP': 57.940375, 'USDVND': 25555, 'USDBRL': 5.886041, 'USDMXN': 20.545704, 'USDCLP': 961.403912, 'USDCOP': 4157.3, 'USDARS': 1063.335035, 'USDRUB': 89.340238, 'USDZAR': 18.70105, 'USDTRY': 36.404038, 'USDAED': 3.672625, 'USDSAR': 3.750582, 'USDQAR': 3.641038, 'USDKWD': 0.308704, 'USDBHD': 0.376873, 'USDOMR': 0.384845, 'USDILS': 3.599104}"
2025-03-02,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 111111111, 'USDJPY': 150.775501, 'USDGBP': 0.79344, 'USDAUD': 1.607645, 'USDNZD': 1.78433, 'USDCAD': 1.444185, 'USDCHF': 0.902645, 'USDCNY': 7.283799, 'USDCNH': 7.290285, 'USDHKD': 7.778026, 'USDSGD': 1.349475, 'USDINR': 87.471498, 'USDKRW': 1461.764817, 'USDTWD': 32.919885, 'USDTHB': 34.218503, 'USDIDR': 16531.45, 'USDMYR': 4.462497, 'USDPHP': 57.939747, 'USDVND': 25555, 'USDBRL': 5.885405, 'USDMXN': 20.52403, 'USDCLP': 954.101835, 'USDCOP': 4139.024038, 'USDARS': 1060.631326, 'USDRUB': 88.442037, 'USDZAR': 18.672997, 'USDTRY': 36.52437, 'USDAED': 3.672625, 'USDSAR': 3.750598, 'USDQAR': 3.651236, 'USDKWD': 0.308698, 'USDBHD': 0.376704, 'USDOMR': 0.384845, 'USDILS': 3.59815}"
2025-03-03,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.95379, 'USDJPY': 149.32987, 'USDGBP': 0.787355, 'USDAUD': 1.60893, 'USDNZD': 1.781848, 'USDCAD': 1.44925, 'USDCHF': 0.896798, 'USDCNY': 7.285102, 'USDCNH': 7.30414, 'USDHKD': 7.777235, 'USDSGD': 1.3512, 'USDINR': 87.472681, 'USDKRW': 1461.846568, 'USDTWD': 32.939586, 'USDTHB': 34.224128, 'USDIDR': 16550.859536, 'USDMYR': 4.459217, 'USDPHP': 57.961908, 'USDVND': 25539.586056, 'USDBRL': 6.022012, 'USDMXN': 20.744765, 'USDCLP': 950.600435, 'USDCOP': 4126, 'USDARS': 1063.730497, 'USDRUB': 89.45526, 'USDZAR': 18.61375, 'USDTRY': 36.456095, 'USDAED': 3.672597, 'USDSAR': 3.749632, 'USDQAR': 3.639647, 'USDKWD': 0.309152, 'USDBHD': 0.376914, 'USDOMR': 0.384995, 'USDILS': 3.607205}"
2025-03-04,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.94115, 'USDJPY': 149.805502, 'USDGBP': 0.78165, 'USDAUD': 1.595399, 'USDNZD': 1.766555, 'USDCAD': 1.439815, 'USDCHF': 0.889715, 'USDCNY': 7.265596, 'USDCNH': 7.256295, 'USDHKD': 7.77279, 'USDSGD': 1.338075, 'USDINR': 87.217249, 'USDKRW': 1453.850335, 'USDTWD': 32.809798, 'USDTHB': 33.680637, 'USDIDR': 16386, 'USDMYR': 4.454969, 'USDPHP': 57.621005, 'USDVND': 25560, 'USDBRL': 6.240236, 'USDMXN': 20.545504, 'USDCLP': 947.530012, 'USDCOP': 4153.8, 'USDARS': 1063.750042, 'USDRUB': 89.752112, 'USDZAR': 18.485399, 'USDTRY': 36.455022, 'USDAED': 3.672699, 'USDSAR': 3.750512, 'USDQAR': 3.6405, 'USDKWD': 0.30864, 'USDBHD': 0.376934, 'USDOMR': 0.38499, 'USDILS': 3.643185}"
2025-03-05,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.926405, 'USDJPY': 148.901499, 'USDGBP': 0.775745, 'USDAUD': 1.577885, 'USDNZD': 1.74558, 'USDCAD': 1.433945, 'USDCHF': 0.890765, 'USDCNY': 7.251102, 'USDCNH': 7.23679, 'USDHKD': 7.770801, 'USDSGD': 1.330965, 'USDINR': 86.8737, 'USDKRW': 1444.030083, 'USDTWD': 32.816097, 'USDTHB': 33.597402, 'USDIDR': 16280.35, 'USDMYR': 4.424998, 'USDPHP': 57.488001, 'USDVND': 25505, 'USDBRL': 5.741599, 'USDMXN': 20.406022, 'USDCLP': 939.570353, 'USDCOP': 4113, 'USDARS': 1063.630121, 'USDRUB': 90.393767, 'USDZAR': 18.310798, 'USDTRY': 36.464602, 'USDAED': 3.6727, 'USDSAR': 3.750728, 'USDQAR': 3.641014, 'USDKWD': 0.30856, 'USDBHD': 0.376962, 'USDOMR': 0.384985, 'USDILS': 3.61863}"
2025-03-06,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.927035, 'USDJPY': 148.117037, 'USDGBP': 0.776114, 'USDAUD': 1.579335, 'USDNZD': 1.74345, 'USDCAD': 1.429215, 'USDCHF': 0.883395, 'USDCNY': 7.251098, 'USDCNH': 7.24529, 'USDHKD': 7.77245, 'USDSGD': 1.332895, 'USDINR': 87.12905, 'USDKRW': 1447.505548, 'USDTWD': 32.872901, 'USDTHB': 33.730073, 'USDIDR': 16326.1, 'USDMYR': 4.427503, 'USDPHP': 57.320999, 'USDVND': 25510, 'USDBRL': 5.764499, 'USDMXN': 20.2825, 'USDCLP': 929.009915, 'USDCOP': 4108, 'USDARS': 1063.610229, 'USDRUB': 89.007463, 'USDZAR': 18.1362, 'USDTRY': 36.492695, 'USDAED': 3.672703, 'USDSAR': 3.751453, 'USDQAR': 3.644959, 'USDKWD': 0.30819, 'USDBHD': 0.376904, 'USDOMR': 0.384996, 'USDILS': 3.606798}"
2025-03-07,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.922804, 'USDJPY': 148.01504, 'USDGBP': 0.774503, 'USDAUD': 1.590837, 'USDNZD': 1.751007, 'USDCAD': 1.43725, 'USDCHF': 0.880846, 'USDCNY': 7.23425, 'USDCNH': 7.24515, 'USDHKD': 7.77075, 'USDSGD': 1.330604, 'USDINR': 87.14925, 'USDKRW': 1447.165039, 'USDTWD': 32.842038, 'USDTHB': 33.720369, 'USDIDR': 16300, 'USDMYR': 4.414504, 'USDPHP': 57.205038, 'USDVND': 25505, 'USDBRL': 5.786804, 'USDMXN': 20.261235, 'USDCLP': 929.570396, 'USDCOP': 4134, 'USDARS': 1064.975499, 'USDRUB': 89.999077, 'USDZAR': 18.25139, 'USDTRY': 36.446038, 'USDAED': 3.67275, 'USDSAR': 3.751797, 'USDQAR': 3.640504, 'USDKWD': 0.30809, 'USDBHD': 0.376967, 'USDOMR': 0.384986, 'USDILS': 3.62885}"
2025-03-08,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.922804, 'USDJPY': 148.050385, 'USDGBP': 0.774984, 'USDAUD': 1.590837, 'USDNZD': 1.751083, 'USDCAD': 1.43715, 'USDCHF': 0.880846, 'USDCNY': 7.23425, 'USDCNH': 7.24515, 'USDHKD': 7.770215, 'USDSGD': 1.330769, 'USDINR': 87.141425, 'USDKRW': 1449.323713, 'USDTWD': 32.826704, 'USDTHB': 33.660975, 'USDIDR': 16296.607755, 'USDMYR': 4.419982, 'USDPHP': 57.40007, 'USDVND': 25575.68616, 'USDBRL': 5.787904, 'USDMXN': 20.260804, 'USDCLP': 927.688829, 'USDCOP': 4106.491949, 'USDARS': 1064.901029, 'USDRUB': 88.114827, 'USDZAR': 18.24545, 'USDTRY': 36.472204, 'USDAED': 3.672704, 'USDSAR': 3.750373, 'USDQAR': 3.640374, 'USDKWD': 0.307984, 'USDBHD': 0.376967, 'USDOMR': 0.384983, 'USDILS': 3.61706}"
2025-03-09,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.922804, 'USDJPY': 148.04504, 'USDGBP': 0.774984, 'USDAUD': 1.590837, 'USDNZD': 1.75116, 'USDCAD': 1.43715, 'USDCHF': 0.880846, 'USDCNY': 7.23425, 'USDCNH': 7.24515, 'USDHKD': 7.77075, 'USDSGD': 1.330904, 'USDINR': 87.14925, 'USDKRW': 1447.515039, 'USDTWD': 32.842038, 'USDTHB': 33.756038, 'USDIDR': 16300, 'USDMYR': 4.414504, 'USDPHP': 57.205038, 'USDVND': 25505, 'USDBRL': 5.787904, 'USDMXN': 20.26717, 'USDCLP': 927.688829, 'USDCOP': 4106.491949, 'USDARS': 1064.901029, 'USDRUB': 89.050893, 'USDZAR': 18.25142, 'USDTRY': 36.400804, 'USDAED': 3.672704, 'USDSAR': 3.751673, 'USDQAR': 3.650072, 'USDKWD': 0.30809, 'USDBHD': 0.376967, 'USDOMR': 0.384986, 'USDILS': 3.62885}"
2025-03-10,True,https://currencylayer.com/terms,https://currencylayer.com/privacy,True,2025-03-01,2025-10-06,USD,"{'USDEUR': 0.922615, 'USDJPY': 147.078007, 'USDGBP': 0.776715, 'USDAUD': 1.592619, 'USDNZD': 1.75608, 'USDCAD': 1.442965, 'USDCHF': 0.880065, 'USDCNY': 7.260504, 'USDCNH': 7.259355, 'USDHKD': 7.76843, 'USDSGD': 1.331063, 'USDINR': 87.099066, 'USDKRW': 1449.445468, 'USDTWD': 32.873199, 'USDTHB': 33.60614, 'USDIDR': 16296.96735, 'USDMYR': 4.415006, 'USDPHP': 57.468959, 'USDVND': 25484.911769, 'USDBRL': 5.854402, 'USDMXN': 20.352802, 'USDCLP': 942.619852, 'USDCOP': 4181.25, 'USDARS': 1065.075399, 'USDRUB': 91.339007, 'USDZAR': 18.340735, 'USDTRY': 36.57738, 'USDAED': 3.672698, 'USDSAR': 3.750114, 'USDQAR': 3.639996, 'USDKWD': 0.308601, 'USDBHD': 0.376934, 'USDOMR': 0.384899, 'USDILS': 3.645855}"
